name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36
"CMO-LQI-PIDF*",3.0,0.17436066567237726,945.8063801267779,8.26289796199636e-06,199999.99999999997,1.0,0.0,92950.88855516209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"CMO-LQI-SF*",6.0,202155.0955558754,0.0,0.0,0.0,0.0,0.0,0.0,0.08850893889375844,0.19686679933839835,-1383.5864339756913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"PI-direct*",1.0,0.030544472421564627,47.90620876432725,176032.35092161308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"PID-direct*",2.0,0.1635727609483732,832.4455371502346,6.795429803772851e-06,1.0,107686.04865993933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"PIDF-direct*",3.0,0.17406298231654432,943.209491032458,8.237841997052018e-06,199999.99999999997,1.0,0.0,94223.83960679751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"PIDF7-direct*",3.0,0.16539179434117754,868.4494368268772,5.448121365730303e-06,141938.6202750131,1.0,0.3095605650349218,54386.64106014367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"CMO[PSO]",3.0,0.17431549605375055,945.6733826761155,8.241743519734682e-06,199999.99999999997,1.0,0.0,95208.33251106042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"CMO[GA]",3.0,0.17439520556528626,946.2646901044502,8.245179302948308e-06,199999.99999999997,1.0,0.0,94847.94908391483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"CMO[ABC]",3.0,0.17426090050110596,945.5467506721953,8.235114451380297e-06,199999.99999999997,1.0,0.0,96130.75073586126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"CMO[pAEABC]",3.0,0.17436066567237726,945.8063801267779,8.26289796199636e-06,199999.99999999997,1.0,0.0,92950.88855516209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"CMO[pIGWO]",3.0,0.17420246983664928,944.0366876232047,8.261986491494647e-06,199999.99999999997,1.0,0.0,92769.82689783248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"CMO[pIGWO-DLH]",3.0,0.1742201151403461,945.0588288445108,8.233672153683878e-06,199999.99999999997,1.0,0.0,95667.60105110194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"Bryson anchor (xi0)",3.0,0.015690102766418527,98.34550915585547,3.5037118928773495e-06,199999.99999999997,1.0,0.0,9424.77796076938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"PI",1.0,0.004024652421325332,43.24052078526879,10743.91432068798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"PID",2.0,0.029665627289531097,1051.2676481810809,1.0424168191193109e-05,1.0,10042.36367279171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"PIDF",3.0,0.02064938100859785,731.7568577747362,7.255960528891791e-06,199999.99999999997,1.0,0.0,10042.36367279171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"LQR",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026132956702595824,-0.001502496571712814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"LQG",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026132956702595824,-0.001502496571712814,0.6758835686217508,0.29122405777837296,0.9767925038113082,-0.09793517449899497,0.09793517449899504,0.9852157127371539,4.782451853768559,0.23807188007761576,0.04975124378109452,0.9950248756218905,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
"LQI",6.0,9424.77796076938,0.0,0.0,0.0,0.0,0.0,0.0,0.032968024264551185,0.010285829415425484,-90.23619931353507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.02,0.05,48.0,0.42,0.05,0.0001,1e-05,0.02,0.98,0.0
