bras v5: 180 cellules a calculer sur 4 coeurs
[   1/180] PSO       2026092410  et1: STERILE         et2: marge=-0.67644 J=0.1868  (173s, ecoule 2.9min)
[   2/180] AEABC     2026092410  et1: STERILE         et2: marge=-3.24079 J=0.1962  (174s, ecoule 2.9min)
[   3/180] ABC       2026092410  et1: STERILE         et2: marge=-1.12312 J=0.1248  (174s, ecoule 2.9min)
[   4/180] GA        2026092410  et1: STERILE         et2: marge=-1.19718 J=0.2803  (177s, ecoule 2.9min)
[   5/180] PSO       2026092411  et1: STERILE         et2: marge=-0.60816 J=0.1201  (175s, ecoule 5.8min)
[   6/180] IGWO      2026092410  et1: STERILE         et2: marge=-0.76176 J=0.1029  (176s, ecoule 5.8min)
[   7/180] IGWO_DLH  2026092410  et1: STERILE         et2: marge=-0.79250 J=0.1053  (175s, ecoule 5.8min)
[   8/180] GA        2026092411  et1: STERILE         et2: marge=-0.74130 J=0.1282  (173s, ecoule 5.8min)
[   9/180] AEABC     2026092411  et1: STERILE         et2: marge=-0.84605 J=0.1840  (175s, ecoule 8.7min)
[  10/180] IGWO      2026092411  et1: STERILE         et2: marge=-0.44122 J=0.1074  (175s, ecoule 8.7min)
[  11/180] ABC       2026092411  et1: STERILE         et2: marge=-1.00548 J=0.1089  (177s, ecoule 8.8min)
[  12/180] IGWO_DLH  2026092411  et1: STERILE         et2: marge=-0.59184 J=0.1221  (177s, ecoule 8.8min)
[  13/180] GA        2026092412  et1: STERILE         et2: marge=-0.53862 J=0.1076  (175s, ecoule 11.7min)
[  14/180] PSO       2026092412  et1: STERILE         et2: marge=-0.51394 J=0.1204  (176s, ecoule 11.7min)
[  15/180] AEABC     2026092412  et1: STERILE         et2: marge=-0.76638 J=0.0977  (175s, ecoule 11.7min)
[  16/180] ABC       2026092412  et1: STERILE         et2: marge=-1.51830 J=0.1420  (176s, ecoule 11.7min)
[  17/180] IGWO      2026092412  et1: STERILE         et2: marge=-0.63420 J=0.1160  (174s, ecoule 14.6min)
[  18/180] GA        2026092413  et1: STERILE         et2: marge=-1.06482 J=0.1718  (173s, ecoule 14.6min)
[  19/180] IGWO_DLH  2026092412  et1: STERILE         et2: marge=-0.64980 J=0.1155  (177s, ecoule 14.6min)
[  20/180] PSO       2026092413  et1: STERILE         et2: marge=-0.54349 J=0.1194  (176s, ecoule 14.6min)
[  21/180] ABC       2026092413  et1: STERILE         et2: marge=-1.29995 J=0.1210  (175s, ecoule 17.5min)
[  22/180] AEABC     2026092413  et1: STERILE         et2: marge=-0.98878 J=0.5878  (175s, ecoule 17.5min)
[  23/180] IGWO_DLH  2026092413  et1: STERILE         et2: marge=-0.45325 J=0.1053  (175s, ecoule 17.5min)
[  24/180] IGWO      2026092413  et1: STERILE         et2: marge=-0.44604 J=0.1082  (178s, ecoule 17.6min)
[  25/180] PSO       2026092414  et1: STERILE         et2: marge=-0.91409 J=0.3283  (175s, ecoule 20.4min)
[  26/180] GA        2026092414  et1: STERILE         et2: marge=-20.40534 J=0.2383  (174s, ecoule 20.4min)
[  27/180] ABC       2026092414  et1: STERILE         et2: marge=-0.76483 J=0.1062  (174s, ecoule 20.4min)
[  28/180] AEABC     2026092414  et1: STERILE         et2: marge=-1.26652 J=0.4220  (176s, ecoule 20.5min)
[  29/180] IGWO      2026092414  et1: STERILE         et2: marge=-0.75774 J=0.2833  (175s, ecoule 23.3min)
[  30/180] IGWO_DLH  2026092414  et1: STERILE         et2: marge=-0.65255 J=0.1102  (174s, ecoule 23.3min)
[  31/180] PSO       2026092415  et1: STERILE         et2: marge=-3.35308 J=0.3819  (175s, ecoule 23.4min)
[  32/180] GA        2026092415  et1: STERILE         et2: marge=-4.53875 J=0.5450  (173s, ecoule 23.4min)
[  33/180] ABC       2026092415  et1: STERILE         et2: marge=-1.15198 J=0.0970  (174s, ecoule 26.2min)
[  34/180] AEABC     2026092415  et1: STERILE         et2: marge=-1.13103 J=0.1717  (174s, ecoule 26.2min)
[  35/180] IGWO      2026092415  et1: STERILE         et2: marge=-0.59410 J=0.1079  (175s, ecoule 26.3min)
[  36/180] IGWO_DLH  2026092415  et1: STERILE         et2: marge=-0.84329 J=0.1068  (176s, ecoule 26.3min)
[  37/180] PSO       2026092416  et1: STERILE         et2: marge=-0.53920 J=0.1158  (173s, ecoule 29.1min)
[  38/180] GA        2026092416  et1: STERILE         et2: marge=-0.81238 J=0.1797  (174s, ecoule 29.1min)
[  39/180] ABC       2026092416  et1: STERILE         et2: marge=-0.87225 J=0.1108  (173s, ecoule 29.2min)
[  40/180] AEABC     2026092416  et1: STERILE         et2: marge=-0.65757 J=0.1840  (170s, ecoule 29.2min)
